epoch,train_accuracy,train_balanced_accuracy,train_f1,train_macro_f1,train_ari,train_nmi,val_accuracy,val_balanced_accuracy,val_f1,val_macro_f1,val_ari,val_nmi,test_accuracy,test_balanced_accuracy,test_f1,test_macro_f1,test_ari,test_nmi
1,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
5,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
10,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
15,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
20,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
25,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
30,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
35,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
40,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
45,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
50,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
55,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
60,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
65,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
70,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
75,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
80,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
85,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
90,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
95,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
100,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
105,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
110,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
