epoch,train_accuracy,train_balanced_accuracy,train_f1,train_macro_f1,train_ari,train_nmi,val_accuracy,val_balanced_accuracy,val_f1,val_macro_f1,val_ari,val_nmi,test_accuracy,test_balanced_accuracy,test_f1,test_macro_f1,test_ari,test_nmi
1,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
5,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
10,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
15,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
20,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
25,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
30,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
35,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
40,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
45,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
50,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
55,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
60,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
65,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
70,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
75,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
80,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
85,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
90,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
95,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
100,0.49729797662435593,0.7235270793658212,0.07791609036422315,0.3661867943182553,-0.0019286866064929698,0.027330228328838375,0.30434782608695654,0.5175983436853002,0.40425531914893614,0.28421721181327403,-0.026307370933593883,0.0039230311945503025,0.2058613295210865,0.5011885009378156,0.2900958466453674,0.19452075381741202,-0.002555107482199099,2.4677114799793306e-05
105,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
110,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
